"id","turId","artId","antal"
"5370","695","10440","1"
"5371","698","10555","1"
"5372","687","10555","20"
"5373","688","10555","1"
"5374","690","10555","1"
"5375","693","10555","1"
"5376","695","10555","1"
"5377","689","10536","1"
"5378","690","10536","1"
"5379","695","10536","1"
"5380","696","10536","1"
"5381","686","10531","1"
"5382","687","10531","1"
"5383","688","10531","1"
"5384","694","10531","1"
"5385","695","10531","1"
"5386","696","10531","1"
"5387","687","10624","1"
"5388","688","10624","1"
"5389","690","10628","1"
"5390","696","10564","1"
"5391","686","9991","1"
"5392","687","9991","1"
"5393","688","9991","1"
"5394","690","9991","1"
"5395","692","9991","1"
"5396","693","9991","1"
"5397","694","9991","1"
"5398","697","9991","1"
"5399","695","9991","1"
"5400","696","9991","1"
"5401","687","9969","1"
"5402","688","9969","1"
"5403","689","9969","1"
"5404","690","9969","1"
"5405","693","9969","1"
"5406","696","9969","1"
"5407","698","9125","1"
"5408","686","9125","1"
"5409","687","9125","1"
"5410","688","9125","1"
"5411","689","9125","1"
"5412","690","9125","1"
"5413","691","9125","1"
"5414","693","9125","1"
"5415","697","9125","1"
"5416","696","9125","1"
"5417","687","7221","1"
"5418","686","7254","1"
"5419","687","7254","1"
"5420","688","7254","1"
"5421","689","7254","1"
"5422","690","7254","1"
"5423","691","7254","1"
"5424","692","7254","1"
"5425","693","7254","1"
"5426","694","7254","1"
"5427","697","7254","1"
"5428","695","7254","1"
"5429","696","7254","1"
"5430","686","7317","1"
"5431","687","7317","1"
"5432","688","7317","1"
"5433","689","7317","1"
"5434","690","7317","1"
"5435","691","7317","1"
"5436","692","7317","1"
"5437","693","7317","1"
"5438","694","7317","1"
"5439","697","7317","1"
"5440","696","7317","1"
"5441","686","7288","1"
"5442","687","7288","1"
"5443","688","7288","1"
"5444","689","7288","1"
"5445","690","7288","1"
"5446","691","7288","1"
"5447","692","7288","1"
"5448","693","7288","1"
"5449","694","7288","1"
"5450","697","7288","1"
"5451","695","7288","1"
"5452","696","7288","1"
"5453","687","7300","1"
"5454","686","7301","1"
"5455","687","7301","1"
"5456","688","7301","1"
"5457","689","7301","1"
"5458","690","7301","1"
"5459","691","7301","1"
"5460","692","7301","1"
"5461","693","7301","1"
"5462","694","7301","1"
"5463","697","7301","1"
"5464","695","7301","1"
"5465","696","7301","1"
"5466","686","7271","1"
"5467","687","7271","1"
"5468","688","7271","1"
"5469","689","7271","1"
"5470","690","7271","1"
"5471","691","7271","1"
"5472","692","7271","1"
"5473","693","7271","1"
"5474","694","7271","1"
"5475","697","7271","1"
"5476","695","7271","1"
"5477","696","7271","1"
"5479","700","1110","1"
"5480","701","2130","1"
"5481","702","3135","1"
"5482","703","3135","1"
"5483","704","4497","1"
"5484","705","10346","1"
"5485","706","8253","1"
"5486","707","9331","1"
"5487","708","7456","1"
"5488","709","657","1"
"5489","710","9528","1"
"5490","711","640","1"
"5491","712","640","1"
"5492","713","664","100"
"5493","714","664","1"
"5494","712","664","1"
"5495","713","977","400"
"5496","714","977","1"
"5497","712","977","1"
"5498","715","1013","1"
"5499","712","1013","1"
"5500","714","1003","1"
"5501","712","1003","1"
"5502","714","924","1"
"5503","712","462","1"
"5504","712","430","1"
"5505","712","521","1"
"5506","712","584","1"
"5507","714","591","1"
"5508","712","591","1"
"5509","714","609","1"
"5510","712","609","1"
"5511","712","1090","1"
"5512","714","1669","1"
"5513","712","1669","1"
"5514","714","1716","1"
"5515","712","1716","1"
"5516","714","1846","1"
"5517","712","1846","1"
