"id","tekst","landId","latitude","longitude"
"272","1 januar 2014","1","55.9312438964844","12.3255233764648"
"273","melby jagt stuen","1","55.985767364502","11.9763040542603"
"274","nivå omegn","1","55.9284871412116","12.5213489532471"
"275","frederikssund","1","55.841775","12.063595"
"276","nykøbing falster","1","54.764614","11.870992"
"277","halsnæs","1","55.954805","11.897659"
"278","stevns kliNT","1","55.322816","12.447986"
"279","køge bugt","1","55.5048556","12.3573352"
"280","aboretet hørsholm","1","55.883299","12.500011"
"281","Menstrup sydsjælland","1","55.213858","11.583296"
"285","Kokkedal ","1","55.904623","12.498377"
"286","Dr. Priemes Vej ","1","55.674553","12.534292"
"287","Torstens ødegård","3","56.846468","14.024448"
"288","Canalzone","36","8.9995751","-79.5834819"
"289","Panama City","36","8.9560523","-79.5334158"
"290","Cerro Azul","36","8.0762065","-80.9021075"
"291","Boquete","36","8.7959876","-82.4780635"
"292","Bocas del Toro","36","9.3708886","-82.2442121"
"296","El Valle ","36","8.4300068","-82.3802594"
"298","ForSea - færgevej 8","1","56.029745","12.609932"
"299","Navarredonda de Gredos","12","40.363221","-5.131915"
"300","Trujillo","12","39.468772","-5.887022"
"301","El Rocio","12","37.130184","-6.490339"
"302","Grazalema","12","36.758109","-5.368999"
"303","Vaserne","1","55.8212038","12.4481334"
"305","Græse","1","55.8613681","12.0978161"
"307","Hellebæk avlsgård","1","56.0562089","12.5410900"
"308","Hellebæk klædefabrik","1","56.0696964","12.5586667"
"309","Stjernevej 24","1","56.0819750","12.4796019"
"310","Hasslarps Dammar","3","56.128843","12.811658"
"311","Söderåsen","3","56.0370589","13.2549792"
"312","Klosterris Hegn ","1","56.0633193","12.4404141"
"313","Nykøbing Sjælland ","1","55.9233492","11.6689531"
