"id","latinFamilie","familieSort"
"669","Eopsaltria","7548"
"670","Eos","2539"
"671","Ephippiorhynchus","855"
"672","Epimachus","7511"
"673","Epthianura","6474"
"674","Eremalauda","7888"
"675","Eremiornis","8247"
"676","Eremobius","5886"
"677","Eremomela","8505"
"678","Eremophila","7914"
"679","Eremopterix","7911"
"680","Ergaticus","10961"
"681","Eriocnemis","3898"
"682","Erithacus","9608"
"683","Erpornis","8858"
"684","Erythrocercus","8232"
"685","Erythrogonys","1769"
"686","Erythrothlypis","11574"
"687","Erythrotriorchis","1324"
"688","Erythrura","10458"
"689","Esacus","1708"
"690","Estrilda","10416"
"691","Euaegotheles","3460"
"692","Eubucco","4369"
"693","Eucometis","11415"
"694","Eudocimus","887"
"695","Eudromia","51"
"696","Eudynamys","3014"
"697","Eudyptes","645"
"698","Eudyptula","649"
"699","Eugenes","3840"
"700","Eugerygone","7561"
"701","Eugralla","5790"
"702","Eulabeornis","1613"
"703","Eulacestoma","6915"
"704","Eulampis","3672"
"705","Eulidia","3975"
"706","Eulipoa","85"
"707","Eumomota","4198"
"708","Eumyias","9891"
"709","Euneornis","11761"
"710","Eunymphicus","2594"
"711","Eupetes","6620"
"712","Eupetomena","3652"
"713","Euphagus","11129"
"714","Eupherusa","3725"
"715","Euphonia","10723"
"716","Euplectes","10336"
"717","Eupodotis","1458"
"718","Euptilotis","4045"
"719","Eurocephalus","6978"
"720","Eurostopodus","3370"
"721","Euryceros","6755"
"722","Eurylaimus","4801"
"723","Eurynorhynchus","1929"
"724","Euryptila","8055"
"725","Eurypyga","1479"
"726","Eurystomus","4067"
"727","Euscarthmus","5094"
"728","Euschistospiza","10377"
"729","Euthlypis","10977"
"730","Eutoxeres","3591"
"731","Eutrichomyias","7218"
"732","Eutriorchis","1239"
"733","Falcipennis","220"
"734","Falco","1142"
"735","Falculea","6750"
"736","Falcunculus","6918"
"737","Ferminia","9061"
"738","Ficedula","9885"
"739","Finschia","6572"
"740","Florisuga","3654"
"741","Fluvicola","5377"
"742","Formicarius","5799"
"743","Formicivora","5621"
"744","Forpus","2800"
"745","Foudia","10311"
"746","Foulehaio","6329"
"747","Francolinus","260"
"748","Fraseria","9794"
"749","Fratercula","2108"
"750","Frederickena","5490"
"751","Fregata","992"
"752","Fregetta","781"
"753","Fregilupus","9313"
"754","Fringilla","10640"
"755","Fulica","1652"
"756","Fulmarus","682"
"757","Furnarius","5909"
"758","Galbalcyrhynchus","4724"
"759","Galbula","4741"
"760","Galerida","7899"
"761","Gallicolumba","2334"
"762","Gallicrex","1616"
"763","Gallinago","1868"
"764","Gallinula","1640"
"765","Gallirallus","1539"
"766","Galloperdix","359"
"767","Gallus","374"
"768","Gampsonyx","1171"
"769","Gampsorhynchus","8793"
"770","Garritornis","6574"
"771","Garrodia","778"
"772","Garrulax","8776"
"773","Garrulus","7383"
"774","Gavia","660"
"775","Gecinulus","4708"
"776","Geobates","5866"
"777","Geobiastes","4070"
"778","Geococcyx","2923"
"779","Geocolaptes","4554"
"780","Geoffroyus","2643"
"781","Geomalia","9378"
"782","Geopelia","2255"
"783","Geophaps","2244"
"784","Geositta","5876"
"785","Geospiza","11768"
"786","Geothlypis","10949"
"787","Geotrygon","2312"
"788","Geranoaetus","1354"
"789","Geranospiza","1335"
"790","Geronticus","871"
"791","Gerygone","6549"
"792","Glareola","1956"
"793","Glaucidium","3265"
"794","Glaucis","3594"
"795","Glossopsitta","2571"
"796","Glycifohia","6404"
"797","Glyciphila","6422"
"798","Glyphorhynchus","6144"
"799","Gnorimopsar","11096"
"800","Goethalsia","3726"
"801","Goldmania","3727"
"802","Gorsachius","928"
"803","Goura","2338"
"804","Gracula","9285"
"805","Grafisia","9358"
"806","Grallaria","5843"
"807","Grallaricula","5864"
"808","Grallina","7300"
"809","Graminicola","8257"
"810","Granatellus","11017"
"811","Grandala","9701"
"812","Grantiella","6417"
"813","Graueria","8494"
"814","Graydidascalus","2834"
"815","Griseotyrannus","5423"
"816","Grus","1676"
"817","Guadalcanaria","6314"
"818","Guarouba","2728"
"819","Gubernatrix","11354"
"820","Gubernetes","5373"
"821","Guira","2914"
"822","Guttera","176"
"823","Gyalophylax","6000"
"824","Gygis","2068"
"825","Gymnobucco","4404"
"826","Gymnocichla","5666"
"827","Gymnocrex","1578"
"828","Gymnoderus","4990"
"829","Gymnoglaux","3174"
"830","Gymnogyps","1074"
"831","Gymnomystax","11089"
"832","Gymnomyza","6332"
"833","Gymnophaps","2479"
"834","Gymnopithys","5704"
"835","Gymnorhina","6778"
"836","Gymnorhinus","7372"
"837","Gymnoris","10191"
"838","Gypaetus","1203"
"839","Gypohierax","1202"
"840","Gyps","1213"
"841","Habia","11807"
"842","Habroptila","1614"
"843","Haematoderus","4992"
"844","Haematopus","1725"
"845","Haematortyx","353"
"846","Haematospiza","10811"
"847","Halcyon","4115"
"848","Haliaeetus","1199"
"849","Haliastur","1191"
"850","Halobaena","688"
"851","Hamirostra","1168"
"852","Hapalopsittaca","2833"
"853","Hapaloptila","4774"
"854","Haplochelidon","7726"
"855","Haplophaedia","3901"
"856","Haplospiza","11633"
"857","Harpactes","4015"
"858","Harpagus","1182"
"859","Harpia","1396"
"860","Harpyhaliaetus","1356"
"861","Harpyopsis","1397"
"862","Hartertula","8408"
"863","Hedydipna","10022"
"864","Heinrichia","9581"
"865","Heleia","9005"
"866","Heliactin","3948"
"867","Heliangelus","3886"
"868","Heliobletus","6123"
"869","Heliodoxa","3837"
"870","Heliolais","8005"
"871","Heliomaster","3953"
"872","Heliopais","1655"
"873","Heliornis","1656"
"874","Heliothryx","3947"
"875","Hellmayrea","6001"
"876","Helmitheros","10929"
"877","Hemicircus","4717"
"878","Hemignathus","10857"
"879","Hemiphaga","2475"
"880","Hemiprocne","3471"
"881","Hemipus","6904"
"882","Hemispingus","11400"
"883","Hemitesia","8260"
"884","Hemithraupis","11572"
"885","Hemitriccus","5190"
"886","Hemixos","8215"
"887","Henicopernis","1156"
"888","Henicophaps","2234"
"889","Henicorhina","9115"
"890","Herpetotheres","1088"
"891","Herpsilochmus","5610"
"892","Hesperiphona","10834"
"893","Heteralocha","7581"
"894","Heterocercus","4885"
"895","Heteroglaux","3271"
"896","Heteromirafra","7844"
"897","Heteromunia","10503"
"898","Heteronetta","624"
"899","Heterophasia","8845"
"900","Heteroscelus","1900"
"901","Heterospingus","11569"
"902","Heteroxolmis","5365"
"903","Hierococcyx","3056"
"904","Hieraaetus","1421"
"905","Himantopus","1779"
"906","Himantornis","1492"
"907","Himatione","10875"
"908","Hippolais","8390"
"909","Hirundapus","3541"
"910","Hirundinea","5269"
"911","Hirundo","7752"
"912","Histrionicus","606"
"913","Histurgops","10155"
"914","Hodgsonius","9692"
"915","Hoploxypterus","1818"
"916","Horizorhinus","8831"
"917","Houbaropsis","1466"
"918","Humblotia","9850"
"919","Hydrobates","783"
"920","Hydrochrous","3486"
"921","Hydrophasianus","1827"
"922","Hydropsalis","3452"
"923","Hylexetastes","6152"
"924","Hylia","8403"
"925","Hyliota","8402"
"926","Hylocharis","3751"
"927","Hylocichla","9464"
"928","Hylocitrea","6926"
"929","Hylocryptus","6115"
"930","Hyloctistes","6081"
"931","Hylomanes","4184"
"932","Hylonympha","3841"
"933","Hylopezus","5852"
"934","Hylophilus","7082"
"935","Hylophylax","5714"
"936","Hylorchilus","9046"
"937","Hymenolaimus","477"
"938","Hymenops","5334"
"939","Hypargos","10375"
"940","Hypergerus","8043"
"941","Hypnelus","4759"
"942","Hypocnemis","5662"
"943","Hypocnemoides","5664"
"944","Hypocolius","7592"
"945","Hypocryptadius","9008"
"946","Hypoedaleus","5485"
"947","Hypogramma","10023"
"948","Hypopyrrhus","11092"
"949","Hypositta","6758"
"950","Hypothymis","7217"
"951","Hypsipetes","8223"
"952","Ibidorhyncha","1729"
"953","Ibycter","1078"
"954","Ichthyophaga","1201"
"955","Icteria","11013"
"956","Icterus","11087"
"957","Ictinaetus","1399"
"958","Ictinia","1184"
"959","Idiopsar","11644"
"960","Ifrita","7480"
"961","Ilicura","4846"
"962","Illadopsis","8580"
"963","Incana","7973"
"964","Incaspiza","11651"
"965","Indicator","4470"
"966","Inezia","5151"
"967","Iodopleura","4908"
"968","Iole","8201"
"969","Irania","9627"
"970","Irediparra","1826"
"971","Irena","9015"
"972","Iridophanes","11567"
