"id","familieID","danskArt","latinArt","engelskArt","artSort"
"3518","2042","Sodgrøn Skægstrube","niger ","Pale-tailed Barbthroat","35980"
"3519","108","Caatingaeremit","gounellei ","Broad-tipped Hermit","35990"
"3520","1512","Yaruquieremit","yaruqui ","White-whiskered Hermit","36000"
"3521","1512","Grøn Eremit","guy ","Green Hermit","36010"
"3522","1512","Hvidskægget Eremit","hispidus ","White-bearded Hermit","36020"
"3523","1512","Langhalet Eremit","longirostris ","Long-billed Hermit","36030"
"3524","1512","Mexicansk Eremit","mexicanus ","Mexican Hermit","36040"
"3525","1512","Tumbeseremit","baroni ","Baron's Hermit","36050"
"3526","1512","Rustbrun Eremit","superciliosus ","Long-tailed Hermit","36060"
"3527","1512","Jaliscoeremit","superciliosus griseoventer","Jalisco Hermit","36070"
"3528","1512","Langnæbbet Eremit","malaris ","Great-billed Hermit","36080"
"3529","1512","Østlig Eremit","malaris margarettae","Margaretta's Hermit","36090"
"3530","1512","Gyldenbuget Eremit","syrmatophorus ","Tawny-bellied Hermit","36100"
"3531","1512","Siraeremit","koepckeae ","Koepcke's Hermit","36110"
"3532","1512","Orangebuget Eremit","philippii ","Needle-billed Hermit","36120"
"3533","1512","Retnæbbet Eremit","bourcieri ","Straight-billed Hermit","36130"
"3534","1512","Lysbuget Eremit","anthophilus ","Pale-bellied Hermit","36140"
"3535","1512","Skælstrubet Eremit","eurynome ","Scale-throated Hermit","36150"
"3536","1512","Planaltoeremit","pretrei ","Planalto Hermit","36160"
"3537","1512","Sodisset Eremit","augusti ","Sooty-capped Hermit","36170"
"3538","1512","Okkerbuget Eremit","subochraceus ","Buff-bellied Hermit","36180"
"3539","1512","Sodstrubet Eremit","squalidus ","Dusky-throated Hermit","36190"
"3540","1512","Sodstrubet Eremit","squalidus squalidus","Sooty-throated Hermit","36200"
"3541","1512","Guyanaeremit","rupurumii ","Streak-throated Hermit","36210"
"3542","1512","Dværgeremit","longuemareus ","Little Hermit","36220"
"3543","1512","Mellemamerikansk Dværgeremit","longuemareus adolphi","Boucard's Hermit","36230"
"3544","1512","Brasiliansk Dværgeremit","idaliae ","Minute Hermit","36240"
"3545","1512","Kanelstrubet Dværgeremit","nattereri ","Cinnamon-throated Hermit","36250"
"3546","1512","Rødlig Dværgeremit","ruber ","Reddish Hermit","36260"
"3547","1512","Hvidbrynet Dværgeremit","stuarti ","White-browed Hermit","36270"
"3548","1512","Sortstrubet Dværgeremit","atrimentalis ","Black-throated Hermit","36280"
"3549","1512","Stribestrubet Dværgeremit","striigularis ","Stripe-throated Hermit","36290"
"3550","1512","Gråstrubet Dværgeremit","griseogularis ","Grey-chinned Hermit","36300"
"3551","1512","Piuradværgeremit","griseogularis porcullae","Porculla Hermit","36310"
"3552","100","Tandnæbskolibri","aequatorialis ","Tooth-billed Hummingbird","36320"
"3553","614","Grøn Lansenæb","ludovicae ","Green-fronted Lancebill","36330"
"3554","614","Blå Lansenæb","johannae ","Blue-fronted Lancebill","36340"
"3555","290","Skælbrystet Kolibri","cuvierii ","Scaly-breasted Hummingbird","36350"
"3556","290","Cuviers Skælbryst","cuvierii cuvierii","Cuvier's Hummingbird","36360"
"3557","290","Roberts","cuvierii roberti","Robert's Hummingbird","36370"
"3558","290","Krumvinget Sabelvinge","curvipennis ","Wedge-tailed Sabrewing","36380"
"3559","290","Kilehalet Sabelvinge","curvipennis curvipennis","Curve-winged Sabrewing","36390"
"3560","290","Yucatánsabelvinge","curvipennis pampa","Wedge-tailed Sabrewing","36400"
"3561","290","Tuxtlasabelvinge","excellens ","Long-tailed Sabrewing","36410"
"3562","290","Gråbrystet Sabelvinge","largipennis ","Grey-breasted Sabrewing","36420"
"3563","290","Kanelfarvet Sabelvinge","rufus ","Rufous Sabrewing","36430"
"3564","290","Brunbrystet Sabelvinge","hyperythrus ","Rufous-breasted Sabrewing","36440"
"3565","290","Violet Sabelvinge","hemileucurus ","Violet Sabrewing","36450"
"3566","290","Blåstrubet Sabelvinge","ensipennis ","White-tailed Sabrewing","36460"
"3567","290","Lazurfarvet Sabelvinge","falcatus ","Lazuline Sabrewing","36470"
"3568","290","Santa Marta-sabelvinge","phainopeplus ","Santa Marta Sabrewing","36480"
"3569","290","Naposabelvinge","villaviscensio ","Napo Sabrewing","36490"
"3570","290","Okkerbrystet Sabelvinge","duidae ","Buff-breasted Sabrewing","36500"
"3571","133","Sørgekolibri","cirrochloris ","Sombre Hummingbird","36510"
"3572","712","Svalehalekolibri","macroura ","Swallow-tailed Hummingbird","36520"
"3573","740","Hvidnakket Jacobin","mellivora ","White-necked Jacobin","36530"
"3574","740","Sort Jacobin","fusca ","Black Jacobin","36540"
"3575","463","Brun Violetøre","delphinae ","Brown Violetear","36550"
"3576","463","Lille Violetøre","thalassinus ","Green Violetear","36560"
"3577","463","Bjergvioletøre","thalassinus cyanotus","Mountain Violetear","36570"
"3578","463","Glitrende Violetøre","coruscans ","Sparkling Violetear","36580"
"3579","463","Brasiliansk Violetøre","serrirostris ","White-vented Violetear","36590"
"3580","119","Grønstrubet Mango","viridigula ","Green-throated Mango","36600"
"3581","119","Grønbrystet Mango","prevostii ","Green-breasted Mango","36610"
"3582","119","Ecuadormango","prevostii iridescens","Ecuadorian Mango","36620"
"3583","119","Sortbrystet Mango","nigricollis ","Black-throated Mango","36630"
"3584","119","Veraguamango","veraguensis ","Veraguan Mango","36640"
"3585","119","Antilmango","dominicus ","Antillean Mango","36650"
"3586","119","Grøn Mango","viridis ","Green Mango","36660"
"3587","119","Jamaicamango","mango ","Jamaican Mango","36670"
"3588","187","Flammehalet Sylnæb","recurvirostris ","Fiery-tailed Awlbill","36680"
"3589","2067","Rød Pragttopas","pella ","Crimson Topaz","36690"
"3590","2067","Sorthættet Pragttopas","pyra ","Fiery Topaz","36700"
"3591","704","Granatstrube","jugularis ","Purple-throated Carib","36710"
"3592","704","Grønstrubet Caraiber","holosericeus ","Green-throated Carib","36720"
"3593","403","Mosquitokolibri","mosquitus ","Ruby Topaz","36730"
"3594","1423","Blåtoppet Kolibri","cristatus ","Antillean Crested Hummingbird","36740"
"3595","992","Violethovedet Kolibri","guimeti ","Violet-headed Hummingbird","36750"
"3596","1943","Vibekolibri","lalandi ","Black-breasted Plovercrest","36760"
"3597","1943","Violettoppet Vibekolibri","lalandi loddigesii","Violet-crested Plovercrest","36770"
"3598","1","Smaragdstrube","abeillei ","Emerald-chinned Hummingbird","36780"
"3599","1079","Guyanapragtalf","ornatus ","Tufted Coquette","36790"
"3600","1079","Savannepragtalf","gouldii ","Dot-eared Coquette","36800"
"3601","1079","Pragtalf","magnificus ","Frilled Coquette","36810"
"3602","1079","Brunøret Pragtalf","brachylophus ","Short-crested Coquette","36820"
"3603","1079","Diadempragtalf","delattrei ","Rufous-crested Coquette","36830"
"3604","1079","Pailletpragtalf","stictolophus ","Spangled Coquette","36840"
"3605","1079","Hvidspidset Pragtalf","chalybeus ","Festive Coquette","36850"
"3606","1079","Grøntoppet Pragtalf","chalybeus verreauxii","Butterfly Coquette","36860"
"3607","1079","Coquette Påfuglepragtalf","pavoninus ","Peacock","36870"
"3608","1079","Sorttoppet Pragtalf","helenae ","Black-crested Coquette","36880"
"3609","1079","Hvidtoppet Pragtalf","adorabilis ","White-crested Coquette","36890"
"3610","1647","TRødtoppet Tornhale","popelairii ","Wire-crested Thorntail","36900"
"3611","1647","Sortbuget Tornhale","langsdorffi ","Black-bellied Thorntail","36910"
"3612","1647","Boliviansk Tornhale","letitiae ","Letitia's Thorntail","36920"
"3613","1647","Grøn Tornhale","conversii ","Green Thorntail","36930"
"3614","605","Spatelhalet Pragtalf","longicauda ","Racket-tailed Coquette","36940"
"3615","2086","Rødnæbbet Vimpelhale","polytmus ","Red-billed Streamertail","36950"
"3616","2086","Sortnæbbet Vimpelhale","scitulus ","Black-billed Streamertail","36960"
"3617","382","Safirkolibri","notatus ","Blue-chinned Sapphire","36970"
"3618","396","Langhalet Smaragd","auriceps ","Golden-crowned Emerald","36980"
"3619","396","Cozumelsmaragd","forficatus ","Cozumel Emerald","36990"
"3620","396","Kløfthalet Smaragd","canivetii ","Canivet's Emerald","37000"
"3621","396","Costa Rica-smaragd","salvini ","Salvin's Emerald","37010"
"3622","396","Panamasmaragd","assimilis ","Garden Emerald","37020"
"3623","396","Blåhalet Smaragd","mellisugus ","Blue-tailed Emerald","37030"
"3624","396","Vestsmaragd","melanorhynchus ","Western Emerald","37040"
"3625","396","Magdalenasmaragd","gibsoni ","Red-billed Emerald","37050"
"3626","396","Chiribiquete-smaragd","olivaresi ","Chiribiquete Emerald","37060"
"3627","396","Glanssmaragd","aureoventris ","Glittering-bellied Emerald","37070"
"3628","396","Lille Glanssmaragd","aureoventris pucherani","Pucheran's Emerald","37080"
"3629","396","Caribersmaragd","elegans ","Gould's Emerald","37090"
"3630","396","Cubasmaragd","ricordii ","Cuban Emerald","37100"
"3631","396","Braces","bracei ","Brace's Emerald","37110"
"3632","396","Hispaniolasmaragd","swainsonii ","Hispaniolan Emerald","37120"
"3633","396","Puerto Rico-smaragd","maugaeus ","Puerto Rican Emerald","37130"
"3634","396","Kobbersmaragd","russatus ","Coppery Emerald","37140"
"3635","396","Smalhalet Smaragd","stenurus ","Narrow-tailed Emerald","37150"
"3636","396","Grønhalet Smaragd","alice ","Green-tailed Emerald","37160"
"3637","396","Korthalet Smaragd","poortmani ","Short-tailed Emerald","37170"
"3638","396","Santandersmaragd","poortmani euchloris","Santander Emerald","37180"
"3639","1445","Ildstrubet Kolibri","insignis ","Fiery-throated Hummingbird","37190"
"3640","652","Hvidhalet Smaragd","chionura ","White-tailed Emerald","37200"
"3641","652","Kobberisset Smaragd","cupreiceps ","Coppery-headed Emerald","37210"
"3642","714","Blåkronet Kolibri","cyanophrys ","Oaxaca Hummingbird","37220"
"3643","714","Gråhalet Kolibri","poliocerca ","White-tailed Hummingbird","37230"
"3644","714","Stribehalet Kolibri","eximia ","Stripe-tailed Hummingbird","37240"
"3645","714","Sortbuget Kolibri","nigriventris ","Black-bellied Hummingbird","37250"
"3646","800","Brunhalet Kolibri","bella ","Pirre Hummingbird","37260"
"3647","801","Violetisset Kolibri","violiceps ","Violet-capped Hummingbird","37270"
"3648","559","Mosgrøn Brednæbskolibri","sordidus ","Dusky Hummingbird","37280"
"3649","559","Mexicansk Brednæbskolibri","latirostris ","Broad-billed Hummingbird","37290"
"3650","559","Blåmasket Brednæbskolibri","doubledayi ","Doubleday's Hummingbird","37300"
"3651","549","Cariberskovnymfe","bicolor ","Blue-headed Hummingbird","37310"
"3652","2028","Mexicansk Skovnymfe","ridgwayi ","Mexican Woodnymph","37320"
"3653","2028","Santa Marta-skovnymfe","colombica ","Violet-crowned Woodnymph","37330"
"3654","2028","Blåisset Skovnymfe","colombica townsendi","Blue-crowned Woodnymph","37340"
"3655","2028","Grønkronet Skovnymfe","fannyi ","Green-crowned Woodnymph","37350"
"3656","2028","Smaragdbuget Skovnymfe","hypochlora ","Emerald-bellied Woodnymph","37360"
"3657","2028","Kløfthalet Skovnymfe","furcata ","Fork-tailed Woodnymph","37370"
"3658","2028","Langhalet Skovnymfe","watertonii ","Long-tailed Woodnymph","37380"
"3659","2028","Violetkronet Skovnymfe","glaucopis ","Violet-capped Woodnymph","37390"
"3660","569","Violetbuget Kolibri","julie ","Violet-bellied Hummingbird","37400"
